year,nh_land,nh_ocean,deep_nh,sh_land,sh_ocean,deep_sh,nh,sh
2025,2.3129178002706046,1.7850723893835905,-0.2876927413440256,2.2826869095192865,1.7258750845735717,-0.11919040442988217,1.993043481273074,1.8316693313132577
2026,2.350259236015032,1.817026019690538,-0.2814034264798543,2.319276919514615,1.756358604977653,-0.11358895646059369,2.0271199069223886,1.8633130847396757
2027,2.3639105989347975,1.843511837130474,-0.2750451969546459,2.332526855787321,1.7820875526937785,-0.10791987701201239,2.0485489492813773,1.8866710202815515
2028,2.375235258317903,1.865486523227529,-0.2686333278257314,2.343727590988643,1.80383982177007,-0.1021965176547391,2.0663275248531363,1.906418497921599
2029,2.3846614413053904,1.8837803396451227,-0.262180281408589,2.353222253020626,1.8222812806321982,-0.09642999047930283,2.081127493699268,1.9231600653859995
2030,2.3925384881985474,1.8990705995150567,-0.2556962187828299,2.3612964578873212,1.8379661910631861,-0.09062954101050921,2.093496947656352,1.937398941759772
2031,2.399151384930274,1.9119098434950161,-0.24918942373555664,2.3681879494170213,1.851355914889418,-0.08480286107562524,2.1038830108205078,1.9495540014496628
2032,2.4047326183756117,1.9227488252544123,-0.2426666486061803,2.374094623244659,1.8628344851888414,-0.0789563492318722,2.112650439744165,1.9599739114194468
2033,2.409471847686076,1.9319552625917078,-0.23613339641994496,2.379181205872995,1.8727215675671969,-0.07309532754295148,2.120096797118889,1.9689488988452988
2034,2.4135237939782233,1.9398291342353193,-0.229594151047007,2.383584814238452,1.8812832489599924,-0.06722422202105986,2.126464830174023,1.9767205463629
2035,2.4170146765898473,1.9466151586796177,-0.22305256496176426,2.3874195834232026,1.8887410180944326,-0.06134671282451767,2.1319525687362484,1.983489945506899
2036,2.420047463654019,1.9525129741793745,-0.21651161241327904,2.3907805187040383,1.8952792407120571,-0.05546585928035446,2.136721563032385,1.9894244835305337
2037,2.4227061554164133,1.957685443393448,-0.20997371437874116,2.3937467019489818,1.9010513818492547,-0.049584203951507186,2.1409036039304965,1.994663492668203
2038,2.425059278483209,1.9622654281534073,-0.2034408404980762,2.3963839605811827,1.9061851851846687,-0.04370385926102005,2.144606205183349,1.9993229525100065
2039,2.427162736361337,1.9663613161894866,-0.1969145922302141,2.3987470891906053,1.9107869842622909,-0.037826579596914156,2.1479170757371957,2.0034994041986707
2040,2.429062134874393,1.9700615297273547,-0.19039627069035112,2.4008816987754367,1.9149452910988978,-0.03195382133135047,2.150907768155288,2.0072732085574403
2041,2.430794679192225,1.9734382035146398,-0.18388693199025866,2.402825756027173,1.918733783295372,-0.026086792779803872,2.153636654931608,2.0107112581144144
2042,2.4323907213911906,1.9765501852842606,-0.1773874323838207,2.4046108646120206,1.92221379047029,-0.020226495786430314,2.156151356510391,2.0138692345572187
2043,2.433875022924056,1.9794454834746995,-0.17089846509586964,2.4062633316932747,1.9254363639357133,-0.014373760339182992,2.158490722017746,2.01679348780965
2044,2.4352677845186665,1.9821632640331517,-0.16442059036642043,2.4078050556910324,1.9284439994690723,-0.008529273382980273,2.1606864451044445,2.019522600151245
2045,2.4365854863494762,1.984735479369122,-0.1579542599601549,2.4092542652421205,1.9312720713266431,-0.0026936028034054973,2.1627643821193816,2.0220886881705837
2046,2.4378415734333307,1.9871881972234693,-0.15149983716076423,2.410626134300968,1.933950025898179,0.003132782609581321,2.164745627450155,2.024518486494709
2047,2.4390470147621666,1.9895426847342041,-0.14505761308192527,2.4119332941417744,1.9365023752898995,0.008949496544118788,2.1666473907652213,2.0268342498717558
2048,2.4402107594327203,1.991816292796541,-0.13862781997345888,2.413186259542629,1.9389495243703667,0.014756221334243026,2.1684837126511955,2.029054504053097
2049,2.4413401087483724,1.9940231775068153,-0.13221064207621389,2.414393783535765,1.9413084591930012,0.020552696446154605,2.170266048415989,2.0311946708181265
2050,2.4424410197726893,1.9961748887025785,-0.12580622447724996,2.4155631526971733,1.9435933200302458,0.026338708894348833,2.1720037443442024,2.0332675882369617
2051,2.443518352962554,1.9982808500822804,-0.1194146803337019,2.416700432941939,1.945815878359949,0.0321140852641397,2.173704426217108,2.0352839437305272
2052,2.444576074182526,2.0003487508776887,-0.11303609676584656,2.417810674121163,1.9479859339027876,0.03787868507132568,2.1753743162597945,2.037252634544279
2053,2.4456174195042752,2.002384865372728,-0.10667053966452981,2.4188980803258473,1.950111645111177,0.04363239523487525,2.1770184917005575,2.0391810678019646
2054,2.4466450296467865,2.004394313560796,-0.10031805761295036,2.4199661516456934,1.9521998042640742,0.049375125476076,2.1786410956986764,2.041075410266582
2055,2.4476610596501014,2.0063812737840094,-0.09397868508595283,2.4210178021673276,1.9542560664523823,0.055106804488860156,2.1802455094152497,2.042940796238222
2056,2.448667268345049,2.0083491562002065,-0.08765244505992557,2.4220554581945346,1.956285140183525,0.06082737675204757,2.181834492385274,2.044781500605617
2057,2.449665091340945,2.0103007442940206,-0.08133935114188375,2.4230811400055328,1.9582909460382676,0.06653679987591282,2.183410297030509,2.046601082892048
2058,2.450655700567537,2.0122383103188684,-0.07503940930630974,2.4240965299066968,1.9602767487346573,0.07223504239351654,2.184974762076844,2.048402507157345
2059,2.451640052848202,2.014163709472338,-0.06875261931201283,2.425103028879621,1.9622452670563693,0.0779220819222529,2.1865293887624286,2.0501882418027875
2060,2.452618929525016,2.016078456722648,-0.06247897585795263,2.426101803733409,1.9641987653556796,0.08359790363356094,2.188075403006781,2.0519603426474484
2061,2.4535929687841347,2.0179837894822112,-0.05621846952611495,2.4270938263536554,1.9661391297193838,0.08926249897914627,2.189613806127169,2.0537205220798955
2062,2.45456269202622,2.019880718735528,-0.04997108755066921,2.4280799063727923,1.9680679313683387,0.09491586463071992,2.191145416212061,2.055470206619185
2063,2.455528525378924,2.021770070748342,-0.04373681444540976,2.4290607183644846,1.9699864794304538,0.10055800159746571,2.1926709018727912,2.05721058482792
2064,2.4564908172463764,2.023652521093181,-0.0375156325155876,2.4300368244798944,1.971895864868257,0.10618891449144606,2.19419080977754,2.0589426471944683
2065,2.4574498526257056,2.025528622406733,-0.03130752227543075,2.4310086932898254,1.9737969970436515,0.111808610916151,2.1957055871130082,2.0606672193304245
2066,2.458405864786203,2.027398827033812,-0.02511246278872642,2.431976715468688,1.9756906341539604,0.11741710095754851,2.197215599908254,2.0623849896037587
2067,2.459359044796944,2.029263505499835,-0.018930431946639223,2.432941216849638,1.977577408566509,0.12301439676045682,2.198721147982896,2.0640965321403035
2068,2.4603095492992577,2.031122961580361,-0.01276140669432763,2.433902469291505,1.9794578479068137,0.1286005121759373,2.2002224771416063,2.065802325969905
2069,2.4612575068473563,2.032977444594518,-0.006605363215790778,2.434860699724295,1.9813323926121311,0.13417546246780376,2.2017197891221363,2.0675027709634426
2070,2.4622030230808987,2.0348271594337533,-0.00046227708464079847,2.435816097678547,1.9832014105428084,0.13973926406833928,2.2032132497107284,2.0691982010985988
2071,2.463146184944678,2.036672274743102,0.005667876612922305,2.4367688215526866,1.985065209144605,0.14529193437497337,2.204702995362523,2.0708888955021405
2072,2.464087064130955,2.038512929595315,0.011785123177812249,2.4377190038298835,1.986924045572438,0.15083349158105333,2.206189138602357,2.072575087641353
2073,2.4650257198876675,2.0403492389354962,0.017889488216257167,2.4386667554205097,1.9887781351172884,0.1563639545349957,2.207671772430652,2.0742569729749007
